estadio;equipo_local;id_territorio;ciudad;barrio
Desconocido;SANTA EUGENIA, J.E. A;Santa Eugènia de Berga;Santa Eugènia de Berga;Santa Eugènia de Berga
Desconocido;MANLLEU, A.E.C. C;Manlleu;Manlleu;Manlleu
Desconocido;SANT VICENÇ TORELLO, U.E. A;Sant Vicenç de Castellet;Sant Vicenç de Castellet;Sant Vicenç de Castellet
Desconocido;CASTELLDEFELS, U.E. E;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
Desconocido;VISTA ALEGRE,U.D. A;Castelldefels 2 (Vista Alegre - el Castell);Castelldefels;Vista Alegre - el Castell
Desconocido;FUNDACIO PRIVADA ASSOC. ESP. PRAT  A;Prat de Comte;Prat de Comte;Prat de Comte
Desconocido;MARIANAO POBLET UD E;Santa Maria d'Oló;Santa Maria d'Oló;Santa Maria d'Oló
Desconocido;ABRERA, A.E. B;Abrera;Abrera;Abrera
Desconocido;INCRESA ATLETICO CLUB FUTBOL B;Desconocido;Desconocido;Desconocido
Desconocido;VILADECANS U.D. C;Viladecans;Viladecans;Viladecans
Desconocido;FUNDACIO UNIO ESPORTIVA CORNELLA D;Cornellà de Llobregat;Cornellà de Llobregat;Cornellà de Llobregat
Desconocido;MARTORELL C.F. C;Martorell;Martorell;Martorell
Desconocido;Pª BARC. SANT VICENÇ HORTS B;Sant Vicenç de Castellet;Sant Vicenç de Castellet;Sant Vicenç de Castellet
Desconocido;SECTOR MONTSERRATINA U.D. B;Serra de Daró;Serra de Daró;Serra de Daró
Desconocido;COLEGIO ALEMAN S.ALBERTO,A.C. A;Desconocido;Desconocido;Desconocido
Desconocido;SANT ESTEVE SESROVIRES, F.C. B;Sant Esteve de la Sarga;Sant Esteve de la Sarga;Sant Esteve de la Sarga
Desconocido;TERLENKA BARCELONISTA C. F. B;Sant Celoni;Sant Celoni;Sant Celoni
Desconocido;SANT JUST DESVERN CLUB FUTBOL B;Sant Just Desvern;Sant Just Desvern;Sant Just Desvern
Desconocido;UNIFICACIÓN C.F.SANTA PERPETUA D;Santa Perpètua de Mogoda;Santa Perpètua de Mogoda;Santa Perpètua de Mogoda
Desconocido;PALAUTORDERA, C.F. A;Palau d'Anglesola, el;El Palau d'Anglesola;El Palau d'Anglesola
Desconocido;SANT ESTEVE , FUTBOL CLUB  A;Sant Esteve de la Sarga;Sant Esteve de la Sarga;Sant Esteve de la Sarga
Desconocido;PONENT C.F. A;Desconocido;Desconocido;Desconocido
Desconocido;SPORTING CLUB GRANOLLERS  B;Granollers;Granollers;Granollers
Desconocido;LLINARS, C.E. A;Llinars del Vallès;Llinars del Vallès;Llinars del Vallès
Desconocido;SANT CELONI, FUTBOL CLUB  B;Sant Celoni;Sant Celoni;Sant Celoni
Desconocido;MOLLETENSE, U.D. B;Mollet de Peralada;Mollet de Peralada;Mollet de Peralada
Desconocido;MOLLET U.E.,CF. C;Mollet de Peralada;Mollet de Peralada;Mollet de Peralada
Desconocido;Pª BLAUGRANA DE LA ROCA DEL VALLÈS A;Roca del Vallès, la;La Roca del Vallès;La Roca del Vallès
Desconocido;SANT FELIU DE CODINES, C.F. A;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu
Desconocido;SANTA EULALIA RONÇANA, C.F. A;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer
Desconocido;LA ROCA PENYA BLANC BLAVA CLUB FUTBOL A;Roca del Vallès, la;La Roca del Vallès;La Roca del Vallès
Desconocido;ALZAMORA, C.F. B;Desconocido;Desconocido;Desconocido
Desconocido;YOUNG TALENT BADALONA SUD ASSOC.ESP. A;Badalona;Badalona;Badalona
Desconocido;MARTINENC, F.C. C;Sant Martí d'Albars;Sant Martí d'Albars;Sant Martí d'Albars
Desconocido;SINGUERLIN, C.F. B;Santa Coloma de Gramenet 7 (Singuerlin - Can Zam);Santa Coloma de Gramenet;Singuerlin - Can Zam
Desconocido;CATALONIA, U.B. B;Desconocido;Desconocido;Desconocido
Desconocido;VILA OLIMPICA CLUB ESP. C;Barcelona 172 (la Vila Olímpica i el Bogatell);Barcelona;la Vila Olímpica i el Bogatell
CAMP DE FUTBOL CEM MARESME;Pª BARC. CINC COPES A;Barcelona 180 (el Maresme i el Maresme Vell);Barcelona;el Maresme i el Maresme Vell
Desconocido;ONA SANT ADRIA, F.C. B;Sant Adrià de Besòs;Sant Adrià de Besòs;Sant Adrià de Besòs
Desconocido;ARRABAL-CALAF GRAMANET C.D. D;Santa Coloma de Gramenet;Santa Coloma de Gramenet;Santa Coloma de Gramenet
Desconocido;BARCELONA DRAGONS CLUB DE FUTBOL B;Barcelona;Barcelona;Barcelona
Desconocido;PARC, U.D. B;Desconocido;Desconocido;Desconocido
Desconocido;POMAR, C.D. C;Badalona 29 (Canyet - Mas Ram - Pomar de Dalt - Pomar);Badalona;Canyet - Mas Ram - Pomar de Dalt - Pomar
Desconocido;SANT IGNASI C.E. B;Barcelona 79 (la Bonanova, la Torre Vilana i l'Avinguda del Tibidabo);Barcelona;la Bonanova, la Torre Vilana i l'Avinguda del Tibidabo
Desconocido;FUNDACIÓ ESPORTIVA GRAMA D;Santa Coloma de Gramenet;Santa Coloma de Gramenet;Santa Coloma de Gramenet
Desconocido;LLOREDA, C.F. B;Badalona 22 (Lloreda);Badalona;Lloreda
Desconocido;ESCOLA DE FUTBOL PREMIER BARCELONA C;Barcelona;Barcelona;Barcelona
Desconocido;ESCOLA ESPORTIVA GUINEUETA C.F  C;Barcelona 135 (la Guineueta);Barcelona;la Guineueta
Desconocido;SARRIA TER, C.F. A;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
Desconocido;ATLÈTIC CLUB BANYOLES  A;Banyoles;Banyoles;Banyoles
Desconocido;BLANES, C.D. B;Blanes;Blanes;Blanes
Desconocido;ESCOLA F. BOSC DE TOSCA, C A;les Preses;les Preses;les Preses
Desconocido;L'ESCALA, F.C. A;Escala, l';L'Escala;L'Escala
Desconocido;CELRA, U.C.E. A;Celrà;Celrà;Celrà
Desconocido;CALELLA, C.F. A;Alella;Alella;Alella
Desconocido;MONT-RAS,C.E. A;Mont-ras;Mont-ras;Mont-ras
Desconocido;MATARO UNITED, FUTBOL CLUB A;Mataró;Mataró;Mataró
Desconocido;CANET, F.C. A;Canet d'Adri;Canet d'Adri;Canet d'Adri
Desconocido;JOVENTUT TEIA CLUB FUTBOL A;Teià;Teià;Teià
Desconocido;SANTA SUSANNA ASSOC. ESP. A;Santa Susanna;Santa Susanna;Santa Susanna
Desconocido;JUVENTUS, A.C. A;Mataró 10 (la Llàntia);Mataró;la Llàntia
Desconocido;CERDANYOLA MATARO ASSOC.ESP.LL A;Cerdanyola del Vallès;Cerdanyola del Vallès;Cerdanyola del Vallès
Desconocido;ARENYS DE MAR, C.F. B;Arenys de Mar;Arenys de Mar;Arenys de Mar
Desconocido;MOLINOS, U.D. A;Desconocido;Desconocido;Desconocido
Desconocido;SINERA UNITED FUTBOL CLUB ASS. A;Arenys de Mar;Arenys de Mar;Arenys de Mar
Desconocido;JUVESPORT,C.D A;Desconocido;Desconocido;Desconocido
Desconocido;ARENYS DE MUNT, C.E. A;Arenys de Mar;Arenys de Mar;Arenys de Mar
Desconocido;BONAVISTA, C. A;Tarragona;Tarragona;Tarragona
Desconocido;PARE MANYANET, A.E. B;Desconocido;Desconocido;Desconocido
Desconocido;MAS PELLICER, U.D.C. B;Mas de Barberans;Mas de Barberans;Mas de Barberans
Desconocido;LA SALLE REUS, AGRUPACIO ESPORTIVA  A;Reus;Reus;Reus
Desconocido;SALOU, U.D. B;Salou;Salou;Salou
Desconocido;ESCOLA F. LA PASTORETA, CLUB A;Reus;Reus;Reus
Desconocido;MAS IGLESIAS DE REUS CE. A;Mas de Barberans;Mas de Barberans;Mas de Barberans
Desconocido;SANTES CREUS CLUB ESP. B;Reus;Reus;Reus
Desconocido;RACING CLUB FUTBOL BONAVISTA B;Tarragona;Tarragona;Tarragona
CAMP DE FUTBOL ESCOLA CAMP JOLIU;BASE L'ARBOÇ,CF. A;Arboç, l';L'Arboç;L'Arboç
Desconocido;FUNDACIÓ ACADÈMIA F. L'HOSPITALET  D;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
Desconocido;DON BOSCO, C.F. A;Barcelona 35 (l'Escola Industrial);Barcelona;l'Escola Industrial
CAMP DE FUTBOL MPAL. IBERIA;ESCOLA F ANGEL PEDRAZA D;Desconocido;Desconocido;Desconocido
Desconocido;PENYA BARC. COLLBLANC SANTS,AE A;Hospitalet de Llobregat 15 (Collblanc - Centre - Vallparda), l';Hospitalet de Llobregat;Collblanc - Centre - Vallparda
Desconocido;MERCAT NOU MAGÒRIA, S.E. CLUB A;Nou de Berguedà, la;La Nou de Berguedà;La Nou de Berguedà
Desconocido;ESCOLA FUTBOL VALLVIDRERA  A;Desconocido;Desconocido;Desconocido
Desconocido;HOSPITALENSE, AT.C. B;Hospitalet de Llobregat 3 (Centre - la Farga), l';Hospitalet de Llobregat;Centre - la Farga
Desconocido;ALMEDA, C.D. A;Cornellà de Llobregat 9 (Almeda);Cornellà de Llobregat;Almeda
Desconocido;SANT JUST DESVERN CLUB FUTBOL A;Sant Just Desvern;Sant Just Desvern;Sant Just Desvern
Desconocido;TERLENKA BARCELONISTA C. F. A;Sant Celoni;Sant Celoni;Sant Celoni
Desconocido;FUNDACIO UNIO ESPORTIVA CORNELLA C;Cornellà de Llobregat;Cornellà de Llobregat;Cornellà de Llobregat
Desconocido;SANT ILDEFONS, U.E. A;Cornellà de Llobregat 6 (Sant Ildefons Oest);Cornellà de Llobregat;Sant Ildefons Oest
Desconocido;FUNDACIO ATLETIC SANT JUST  C;Sant Just Desvern;Sant Just Desvern;Sant Just Desvern
Desconocido;UNIFICACIÓN C.F.SANTA PERPETUA B;Santa Perpètua de Mogoda;Santa Perpètua de Mogoda;Santa Perpètua de Mogoda
Desconocido;PREMIA DALT, C.D. A;Premià de Dalt;Premià de Dalt;Premià de Dalt
Desconocido;SANTVICENTI CLUB FUTBOL A;Sant Vicenç de Montalt;Sant Vicenç de Montalt;Sant Vicenç de Montalt
Desconocido;MOLLET U.E.,CF. A;Mollet de Peralada;Mollet de Peralada;Mollet de Peralada
Desconocido;VALLES, C.AT. C;Desconocido;Desconocido;Desconocido
Desconocido;BIGUES, C.E. A;Bigues i Riells del Fai;Bigues i Riells del Fai;Bigues i Riells del Fai
Desconocido;LES FRANQUESES, C.F. C;Franqueses del Vallès, les;Les Franqueses del Vallès;Les Franqueses del Vallès
Desconocido;MONTMELO UNIO ESPORTIVA,CF A;Montmeló;Montmeló;Montmeló
Desconocido;ANDORRA, F.C. SAD;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL CEM SAGNIER;PRAT, A.E. D;Prat de Comte;Prat de Comte;Prat de Comte
Desconocido;LES COTS 2025, FUTBOL CLUB  A;Desconocido;Desconocido;Desconocido
Desconocido;PUIGCERDA, C.F. A;Puigcerdà;Puigcerdà;Puigcerdà
Desconocido;BERGA, C.E. B;Berga;Berga;Berga
Desconocido;BALENYA, AT. A;Balenyà;Balenyà;Balenyà
Desconocido;MOIA, C.E. A;Moià;Moià;Moià
Desconocido;FRUITOSENC, F.C. C;Sant Fruitós de Bages;Sant Fruitós de Bages;Sant Fruitós de Bages
Desconocido;SANT QUIRZE BESORA, U.D. A;Sant Quirze de Besora;Sant Quirze de Besora;Sant Quirze de Besora
Desconocido;NAVARCLES, C.F. A;Navarcles;Navarcles;Navarcles
Desconocido;CABRILS, C.E. A;Cabrils;Cabrils;Cabrils
Desconocido;LA LLANTIA, A.D B;Mataró 10 (la Llàntia);Mataró;la Llàntia
Desconocido;CERDANYOLA MATARO ASSOC.ESP.LL B;Cerdanyola del Vallès;Cerdanyola del Vallès;Cerdanyola del Vallès
Desconocido;VILASSAR DALT-GIATSU, C.E. E;Vilassar de Dalt;Vilassar de Dalt;Vilassar de Dalt
Desconocido;MASNOU AT. B;Masnou, el;El Masnou;El Masnou
Desconocido;CALELLA, C.F. C;Alella;Alella;Alella
Desconocido;GRAN Pª ESPANYOLISTA MANIGUA A;Desconocido;Desconocido;Desconocido
Desconocido;VETERANS CATALUNYA,AF A;Catalunya;Catalunya;Catalunya
Desconocido;CATALONIA, U.B. D;Desconocido;Desconocido;Desconocido
Desconocido;ESCOLA COLLBLANC-TORRASSA,C.E A;Hospitalet de Llobregat 15 (Collblanc - Centre - Vallparda), l';Hospitalet de Llobregat;Collblanc - Centre - Vallparda
Desconocido;PADUA, ASSOC. CLUB A;Desconocido;Desconocido;Desconocido
Desconocido;UNIFICACION BELLVITGE, U.D. B;Hospitalet de Llobregat 29 (Bellvitge - Estació), l';Hospitalet de Llobregat;Bellvitge - Estació
Desconocido;ESCOLA DE FUTBOL MASCANÇA B;Desconocido;Desconocido;Desconocido
Desconocido;ESCOLA DE FUTBOL ORGEL.LIA C.E B;Desconocido;Desconocido;Desconocido
Desconocido;ESCOLA F. TREMP, CE B;Tremp;Tremp;Tremp
Desconocido;ESCOLA F. CERVERA,C A;Cervera;Cervera;Cervera
Desconocido;ESCOLA F. URGELL A;Desconocido;Desconocido;Desconocido
Desconocido;ARTESA DE SEGRE 2012 CLUB ESPORTIU DE FUTBOL A;Artés;Artés;Artés
CAMP DE FUTBOL MPAL. DE FONDARELLA;ESCOLA DE FUTBOL MASCANÇA B;Fondarella;Fondarella;Fondarella
Desconocido;CANOVELLES, U.E. B;Canovelles;Canovelles;Canovelles
Desconocido;SANTA EULALIA RONÇANA, C.F. B;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer
Desconocido;LLIÇA DE VALL C.F. B;Lliçà d'Amunt;Lliçà d'Amunt;Lliçà d'Amunt
Desconocido;OLIMPIC LA GARRIGA, C.F. B;Garriga, la;La Garriga;La Garriga
Desconocido;LES FRANQUESES, C.F. D;Franqueses del Vallès, les;Les Franqueses del Vallès;Les Franqueses del Vallès
Desconocido;PALAUTORDERA, C.F. B;Palau d'Anglesola, el;El Palau d'Anglesola;El Palau d'Anglesola
Desconocido;VILANOVA VALLES,C.F. A;Vilanova d'Escornalbou;Vilanova d'Escornalbou;Vilanova d'Escornalbou
Desconocido;SANT FOST , U.E. A;Sant Fost de Campsentelles;Sant Fost de Campsentelles;Sant Fost de Campsentelles
Desconocido;SANT CELONI, FUTBOL CLUB  C;Sant Celoni;Sant Celoni;Sant Celoni
Desconocido;JOVENTUT TEIA CLUB FUTBOL B;Teià;Teià;Teià
Desconocido;FUNDACIÓ ESPORTIVA MONTGAT A;Montgat;Montgat;Montgat
Desconocido;LLOREDA, C.F. A;Badalona 22 (Lloreda);Badalona;Lloreda
Desconocido;ROCAFONDA CLUB FUTBOL A;Mataró 7 (Rocafonda);Mataró;Rocafonda
Desconocido;MOLINOS, U.D. C;Desconocido;Desconocido;Desconocido
Desconocido;PREMIA CLUB ESP. A;Premià de Dalt;Premià de Dalt;Premià de Dalt
Desconocido;POMAR, C.D. B;Badalona 29 (Canyet - Mas Ram - Pomar de Dalt - Pomar);Badalona;Canyet - Mas Ram - Pomar de Dalt - Pomar
Desconocido;PREMIA DALT, C.D. C;Premià de Dalt;Premià de Dalt;Premià de Dalt
Desconocido;ESCOLA DE FUTBOL SALESIANS-MATARO A;Mataró;Mataró;Mataró
Desconocido;COSTA DAURADA FC A;Salou;Salou;Salou
Desconocido;LA SELVA DEL CAMP, F.C. A;Selva de Mar, la;La Selva de Mar;La Selva de Mar
Desconocido;BASE L'HOSPITALET DE L'INFANT C.E. A;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
Desconocido;PARE MANYANET, A.E.;Desconocido;Desconocido;Desconocido
Desconocido;SALOU, U.D.  A;Salou;Salou;Salou
CAMP DE FUTBOL MPAL. TEIXONERA;ESCOLA DE FUTBOL PREMIER BARCELONA C;Barcelona;Barcelona;Barcelona
Desconocido;VALLES, C.AT. B;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE VALLGORGUINA;VALLGORGUINA, F.C. A;Vallgorguina;Vallgorguina;Vallgorguina
Desconocido;VILAMAJOR, C.F. B;Desconocido;Desconocido;Desconocido
Desconocido;VALLGORGUINA, F.C. A;Vallgorguina;Vallgorguina;Vallgorguina
Desconocido;AMETLLA VALLES, C.F. B;Ametlla de Mar, l';L'Ametlla de Mar;L'Ametlla de Mar
Desconocido;RAMASSA A.E. A;Desconocido;Desconocido;Desconocido
Desconocido;CORRO D'AMUNT U.S. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. MARCA DE L´HAM;VILAFANT FC A;Marçà;Marçà;Marçà
Desconocido;GURB, U.E. B;Gurb;Gurb;Gurb
Desconocido;OSONA SUD, C.F. A;Desconocido;Desconocido;Desconocido
Desconocido;TARADELL, U.D. A;Taradell;Taradell;Taradell
Desconocido;AIGUAFREDA, C.E. A;Aiguafreda;Aiguafreda;Aiguafreda
Desconocido;FOLGUEROLES,C.F. A;Folgueroles;Folgueroles;Folgueroles
CAMP DE FUTBOL MPAL. DE PONT MAJOR;GEiEG B;Girona;Girona;Girona
Desconocido;SISTRELLS C.F. C;Badalona 18 (Sistrells);Badalona;Sistrells
Desconocido;POBLE NOU ,AT. C;Nou de Berguedà, la;La Nou de Berguedà;La Nou de Berguedà
Desconocido;SINGUERLIN, C.F. D;Santa Coloma de Gramenet 7 (Singuerlin - Can Zam);Santa Coloma de Gramenet;Singuerlin - Can Zam
Desconocido;YOUNG TALENT BADALONA SUD ASSOC.ESP. B;Badalona;Badalona;Badalona
Desconocido;POMAR, C.D. D;Badalona 29 (Canyet - Mas Ram - Pomar de Dalt - Pomar);Badalona;Canyet - Mas Ram - Pomar de Dalt - Pomar
Desconocido;RACING VALLBONA, C.F. A;Vallbona d'Anoia;Vallbona d'Anoia;Vallbona d'Anoia
Desconocido;BUFALÀ, C.F. D;Badalona 25 (Bufalà Oest - sector Can Barriga);Badalona;Bufalà Oest - sector Can Barriga
Desconocido;UNIFICACIO CIUTAT MERIDIANA,CE A;Barcelona 146 (Torre Baró, Ciutat Meridiana i Vallbona);Barcelona;Torre Baró, Ciutat Meridiana i Vallbona
Desconocido;ESCOLA ESPORTIVA GUINEUETA C.F D;Barcelona 135 (la Guineueta);Barcelona;la Guineueta
Desconocido;ESCOLA E.BRAFA C;Barcelona 142 (Santa Engràcia);Barcelona;Santa Engràcia
Desconocido;UNIFICACION LLEFIA,CF. B;Badalona 13 (Sant Antoni de Llefià);Badalona;Sant Antoni de Llefià
Desconocido;VILA OLÍMPICA CLUB ESP. B;Barcelona 172 (la Vila Olímpica i el Bogatell);Barcelona;la Vila Olímpica i el Bogatell
Desconocido;UNIFICACION BELLVITGE, U.D. E;Hospitalet de Llobregat 29 (Bellvitge - Estació), l';Hospitalet de Llobregat;Bellvitge - Estació
Desconocido;MONTAÑESA, C.F. C;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. TRINITAT VELLA;CONGRÉS CLUB ESP. A;Barcelona 147 (la Trinitat Vella);Barcelona;la Trinitat Vella
CAMP DE FUTBOL MPAL. EUSEBI GÜELL;CASABLANCA , F.C. B;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DANI JARQUE CIUTAT COOPERATIVA;CASABLANCA , F.C. B;Sant Boi de Llobregat 11 (Ciutat Cooperativa);Sant Boi de Llobregat;Ciutat Cooperativa
Desconocido;ATLANTIC CITY FUTBOL CLUB BARCELONA  A;Barcelona;Barcelona;Barcelona
Desconocido;LES FONTS , U.E. A;Terrassa 10 (Can Parellada - les Fonts);Terrassa;Can Parellada - les Fonts
Desconocido;DIABLOS NEGROS DE BARCELONA,  C.D. A;Barcelona;Barcelona;Barcelona
Desconocido;ESCOLA DE FUTBOL VILADECAVALLS, C. A;Valls;Valls;Valls
Desconocido;SANT PERE NORD , C.F. B;Sant Pere de Ribes;Sant Pere de Ribes;Sant Pere de Ribes
Desconocido;VALLHONESTA, C. ATLETIC A;Desconocido;Desconocido;Desconocido
Desconocido;PUEBLO NUEVO-2002, C.F. A;Desconocido;Desconocido;Desconocido
Desconocido;SPORT CASTELLGALI FUTBOL SALA CLUB 2022 A;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
Desconocido;SAN LORENZO, U.D. A;Desconocido;Desconocido;Desconocido
Desconocido;JUAN XXIII,C.S. B;Terrassa 22 (les Arenes - la Grípia - Can Montllor);Terrassa;les Arenes - la Grípia - Can Montllor
Desconocido;MAURINA EGARA, C.F. B;Terrassa 15 (la Maurina);Terrassa;la Maurina
Desconocido;ULLASTRELL C.F. A;Ullastrell;Ullastrell;Ullastrell
Desconocido;LLIÇA D'AMUNT , CLUB AT. A;Lliçà d'Amunt;Lliçà d'Amunt;Lliçà d'Amunt
Desconocido;MONTCADA, C.D B;Montcada i Reixac;Montcada i Reixac;Montcada i Reixac
Desconocido;BELLAVISTA MILAN, C. B;Desconocido;Desconocido;Desconocido
Desconocido;BADIA DEL VALLES, C.D. B;Badia del Vallès;Badia del Vallès;Badia del Vallès
Desconocido;POLINYA, AT. A;Polinyà;Polinyà;Polinyà
Desconocido;FUNDACIÓ UNIÓ ESPORTIVA VIC B;Vic;Vic;Vic
Desconocido;TONA, U.E. A;Tona;Tona;Tona
Desconocido;LES FRANQUESES, C.F. B;Franqueses del Vallès, les;Les Franqueses del Vallès;Les Franqueses del Vallès
Desconocido;LLIÇA D'AMUNT, C.E. B;Lliçà d'Amunt;Lliçà d'Amunt;Lliçà d'Amunt
Desconocido;Pª BARC. VILLAVERDE-PENITENTS B;Desconocido;Desconocido;Desconocido
Desconocido;IMPERIO , C.F. A;Desconocido;Desconocido;Desconocido
Desconocido;FUNDACIÓ ACADEMIA F. L'HOSPITALET  C;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
Desconocido;ESCOLA E.BRAFA B;Barcelona 142 (Santa Engràcia);Barcelona;Santa Engràcia
Desconocido;Pª BARC. BARCINO, CE B;Barcelona 13 (Sant Pere);Barcelona;Sant Pere
Desconocido;FUNDACIO P. CE. JUPITER B;Desconocido;Desconocido;Desconocido
Desconocido;ESCOLA FUTBOL ALMOGAVERS A;Desconocido;Desconocido;Desconocido
Desconocido;BON PASTOR AGRUPACIO ESPORTIVA A;Barcelona 149 (el Bon Pastor);Barcelona;el Bon Pastor
Desconocido;HAILUKONG BARCELONA CLUB FUTBOL A;Barcelona;Barcelona;Barcelona
Desconocido;ESCOLA ESPORTIVA GUINEUETA C.F A;Barcelona 135 (la Guineueta);Barcelona;la Guineueta
Desconocido;CARMELO, C.D. B;Barcelona 118 (el Baix Carmel);Barcelona;el Baix Carmel
Desconocido;CORBERA , C.F. A;Corbera d'Ebre;Corbera d'Ebre;Corbera d'Ebre
Desconocido;LA PALMA CERVELLO, U.E. A;Cervelló;Cervelló;Cervelló
Desconocido;VISTA ALEGRE,U.D. B;Castelldefels 2 (Vista Alegre - el Castell);Castelldefels;Vista Alegre - el Castell
Desconocido;TERLENKA BARCELONISTA C. F. C;Sant Celoni;Sant Celoni;Sant Celoni
Desconocido;SANT JOAN DESPI-SAN PANCRACIO, FUTBOL CLUB  A;Sant Joan de les Abadesses;Sant Joan de les Abadesses;Sant Joan de les Abadesses
Desconocido;ESPORT BASE DEL PAPIOL A;Papiol, el;El Papiol;El Papiol
Desconocido;FONTSANTA-FATJO, C.D. B;Cornellà de Llobregat 2 (Fontsanta - Fatjó);Cornellà de Llobregat;Fontsanta - Fatjó
Desconocido;Pª BARC. SANT VICENÇ HORTS A;Sant Vicenç de Castellet;Sant Vicenç de Castellet;Sant Vicenç de Castellet
Desconocido;CERDANYOLA VALLES, F.C. E;Cerdanyola del Vallès;Cerdanyola del Vallès;Cerdanyola del Vallès
Desconocido;ESCOLA F. SABADELL A;Sabadell;Sabadell;Sabadell
Desconocido;Pª BLAUGRANA SANT CUGAT A;Sant Cugat del Vallès;Sant Cugat del Vallès;Sant Cugat del Vallès
Desconocido;FARNERS, C.E. B;Desconocido;Desconocido;Desconocido
Desconocido;HOSTALRIC, AT.C. A;Hostalric;Hostalric;Hostalric
Desconocido;GEiEG A;Girona;Girona;Girona
Desconocido;RIUDARENES 2005 CE. A;Riudarenes;Riudarenes;Riudarenes
Desconocido;PALAFOLLS, C.D. A;Palafolls;Palafolls;Palafolls
Desconocido;ANGLES C.E. A;Anglès;Anglès;Anglès
Desconocido;GIMNASTIC MANRESA C. D;Manresa;Manresa;Manresa
Desconocido;CASTELLBELL I VILAR, C.E. A;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
Desconocido;FONT DELS CAPELLANS, CLUB DE FUTBOL A;Desconocido;Desconocido;Desconocido
Desconocido;SANT VICENÇ 2018, F.C. A;Sant Vicenç de Castellet;Sant Vicenç de Castellet;Sant Vicenç de Castellet
Desconocido;FRUITOSENC, F.C. A;Sant Fruitós de Bages;Sant Fruitós de Bages;Sant Fruitós de Bages
Desconocido;BALCONADA, U.E. A;Manresa 9 (les Escodines - la Balconada - Cal Gravat - Sant Pau);Manresa;les Escodines - la Balconada - Cal Gravat - Sant Pau
Desconocido;PIRINAICA, F.C. B;Manresa 5 (el Poble Nou - Mion, Puigberenguer i Miralpeix);Manresa;el Poble Nou - Mion, Puigberenguer i Miralpeix
Desconocido;MARTINENCA, U.E. A;Sant Martí d'Albars;Sant Martí d'Albars;Sant Martí d'Albars
Desconocido;SITGES, U.E. B;Sitges;Sitges;Sitges
Desconocido;CASTELLVI DE LA MARCA CF. A;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
Desconocido;Pª JOVE DE LES ROQUETES A;Sant Pere de Ribes;Sant Pere de Ribes;Sant Pere de Ribes
Desconocido;CANYELLES ASSOC. ESP. CF. A;Canyelles;Canyelles;Canyelles
Desconocido;ODENA, C.E. B;Òdena;Òdena;Òdena
Desconocido;BASE TORRELLES, C.F A;Torre de Cabdella, la;La Torre de Cabdella;La Torre de Cabdella
Desconocido;MOLINOS, U.D. B;Desconocido;Desconocido;Desconocido
Desconocido;PLA D'EN BOET,CLUB ESP. A;Pla de Santa Maria, el;El Pla de Santa Maria;El Pla de Santa Maria
Desconocido;CALELLA, C.F. B;Alella;Alella;Alella
Desconocido;LLAVANERES, C.E. B;Desconocido;Desconocido;Desconocido
Desconocido;SANT CEBRIÀ 2021,CLUB FUTBOL  A;Sant Cebrià de Vallalta;Sant Cebrià de Vallalta;Sant Cebrià de Vallalta
Desconocido;FUNDACIÓ ESPORTIVA MONTGAT B;Montgat;Montgat;Montgat
Desconocido;CASTELLDEFELS, U.E. F;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
Desconocido;CERVELLO, C.D. A;Cervelló;Cervelló;Cervelló
Desconocido;ABRERA, A.E. A;Abrera;Abrera;Abrera
Desconocido;SANT ANDREU DE LA BARCA AGRUP. B;Sant Andreu de la Barca;Sant Andreu de la Barca;Sant Andreu de la Barca
Desconocido;SANT ESTEVE SESROVIRES, F.C. A;Sant Esteve de la Sarga;Sant Esteve de la Sarga;Sant Esteve de la Sarga
