estadio;equipo_local;id_territorio;ciudad;barrio
CAMP DE FUTBOL MPAL. DE SANT CUGAT SESGARRIGUES;SANT CUGAT SESGARRIGUES CLUB ESP. A;Sant Cugat del Vallès;Sant Cugat del Vallès;Sant Cugat del Vallès
CAMP DE FUTBOL COMPLEX ESPORTIU ANTONI PALAU;MIG SEGRIA, C.E. A;Palau d'Anglesola, el;El Palau d'Anglesola;El Palau d'Anglesola
CAMP DE FUTBOL MPAL. L'ALZINA;SEVA, U.E. A;Seva;Seva;Seva
CAMP DE FUTBOL ZEM RICARD GINEBREDA;INCRESA ATLETICO CLUB FUTBOL;Breda;Breda;Breda
CAMP DE FUTBOL CEM DE LA SÉNIA;LA SENIA, C.F. A;Sénia, la;La Sénia;La Sénia
CAMP DE FUTBOL MPAL. DE SANTA COLOMA DE QUERALT;SANTA COLOMA QUERALT, U.E. A;Santa Coloma de Cervelló;Santa Coloma de Cervelló;Santa Coloma de Cervelló
No especificado;BASE VILANOVA 2015, CLUB NOU FUTBOL  A;Nou de Berguedà, la;La Nou de Berguedà;La Nou de Berguedà
CAMP DE FUTBOL MPAL. RAMON ESPASA;ESCOLA COMARCAL F. LES GARRIGUES B;Borges Blanques, les;Les Borges Blanques;Les Borges Blanques
CAMP DE FUTBOL MPAL. D´ARTÉS;ARTES, F.C. A;Artés;Artés;Artés
CAMP DE FUTBOL MPAL. DE VERGES;BASE L'EMPORDANET,CF. A;Verges;Verges;Verges
CAMP DE FUTBOL MPAL. DE SANT PERE I SANT PAU;ESCUELA F.SAN PEDRO SAN PABLO A;Sant Pau de Segúries;Sant Pau de Segúries;Sant Pau de Segúries
CAMP DE FUTBOL MPAL. GAUDENCI SELLÉS ROMÀ;QUART, U.E. B;Quart;Quart;Quart
CAMP DE FUTBOL MPAL. LA FORJA CAMP-REDÓ;CAMPREDO, U.D. A;Tortosa;Tortosa;Tortosa
CAMP DE FUTBOL MPAL. DE MAGRANERS;LLEIDA PROMESES, C.F.  A;Lleida;Lleida;Lleida
CAMP DE FUTBOL MPAL. GERMANS GONZALVO (1);MOLLET U.E.,CF. B;Mollet de Peralada;Mollet de Peralada;Mollet de Peralada
No especificado;BISBALENC, AT. A;Bisbal d'Empordà, la;La Bisbal d'Empordà;La Bisbal d'Empordà
CAMP DE FUTBOL MPAL. LA FLORESTA;LA FLORESTA, C.D. A;Floresta, la;La Floresta;La Floresta
CAMP DE FUTBOL MPAL. CEBRIÀ CALVET;CASTELLTERÇOL, C.F. A;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL MPAL. DE MAGRANERS;FIF LLEIDA, C.E. A;Lleida;Lleida;Lleida
CAMP DE FUTBOL MPAL. DE CAMBRILS (1);CAMBRILS UNIÓ C.E. A;Cambrils;Cambrils;Cambrils
CAMP DE FUTBOL MPAL. DE FOLGUEROLES;FOLGUEROLES,C.F. A;Folgueroles;Folgueroles;Folgueroles
CAMP DE FUTBOL CLUB PUIGCERDÀ C.E.;PUIGCERDA, C.F. A;Puigcerdà;Puigcerdà;Puigcerdà
CAMP DE FUTBOL MPAL. DE PREMIÀ DE DALT;PREMIA DALT, C.D. A;Premià de Dalt;Premià de Dalt;Premià de Dalt
CAMP DE FUTBOL MPAL. DE SANTA EULÀLIA DE RONÇANA;SANTA EULALIA RONÇANA, C.F. A;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer
CAMP DE FUTBOL MPAL. AITANA BONMATÍ CONCA;RIBES, C.D. A;Conca de Dalt;Conca de Dalt;Conca de Dalt
No especificado;CARDEDEU, F.C. A;Cardedeu;Cardedeu;Cardedeu
CAMP DE FUTBOL MPAL. SANTA EULÀLIA;FUNDACIÓ ACADEMIA F. L'HOSPITALET  B;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
CAMP DE FUTBOL MPAL. LA CREU;SABADELLENCA, UE. A;Sabadell;Sabadell;Sabadell
No especificado;RAMON SICART, A.E. A;Sant Ramon;Sant Ramon;Sant Ramon
CAMP DE FUTBOL ZEM CAN TITÓ;VILANOVA CAMI C.F. B;Vilanova d'Escornalbou;Vilanova d'Escornalbou;Vilanova d'Escornalbou
CAMP DE FUTBOL MPAL. CENTRE PACO NAVARRO (2);UNIFICACIÓN C.F.SANTA PERPETUA A;Santa Perpètua de Mogoda;Santa Perpètua de Mogoda;Santa Perpètua de Mogoda
CAMP DE FUTBOL IEM DEL VILAR;ESCOLA VALLS FUTBOL CLUB B;Valls;Valls;Valls
CAMP DE FUTBOL MPAL. DE MOLLERUSSA;MOLLERUSSA C.F.J. A;Mollerussa;Mollerussa;Mollerussa
CAMP DE FUTBOL MPAL. DE FONTAJAU;SANT PONÇ, AT. B;Girona;Girona;Girona
CAMP DE FUTBOL MPAL. RAMON FARRÚS;CLUB ESPORTIU ATLETIC LLEIDA  A;Lleida;Lleida;Lleida
CAMP DE FUTBOL MPAL. DE RODA DE TER (1);RODA DE TER, C.E. A;Roda de Berà;Roda de Berà;Roda de Berà
CAMP DE FUTBOL MPAL. EL XOPERAL;ESCOLA DE FUTBOL BAIX SEGRIA A;Baix Pallars;Baix Pallars;Baix Pallars
CAMP DE FUTBOL MPAL. DE SANTA PAU;SANTA PAU, P. A;Santa Pau;Santa Pau;Santa Pau
CAMP DE FUTBOL MPAL. DE SANT MARTI DE TOUS;TOUS, U.E. A;Sant Martí d'Albars;Sant Martí d'Albars;Sant Martí d'Albars
CAMP DE FUTBOL MPAL. CAN SORTS;SENTMENAT, C.D. A;Sentmenat;Sentmenat;Sentmenat
CAMP DE FUTBOL MPAL. DE SANT QUIRZE BESORA;SANT QUIRZE BESORA, U.D. A;Sant Quirze de Besora;Sant Quirze de Besora;Sant Quirze de Besora
CAMP DE FUTBOL MPAL. DE SANT PAU D´ORDAL;SUBIRATS UNIO ESPORTIVA B;Sant Pau de Segúries;Sant Pau de Segúries;Sant Pau de Segúries
CAMP DE FUTBOL ZEM LES FONTS-ARTUR TRAVESA;LES FONTS , U.E. A;Terrassa 10 (Can Parellada - les Fonts);Terrassa;Can Parellada - les Fonts
CAMP DE FUTBOL MPAL. PLA DE BAIX;FUNDACIO UNIÓ ESPORTIVA OLOT A;Baix Pallars;Baix Pallars;Baix Pallars
CAMP DE FUTBOL MPAL. DE MONT-RAS;MONT-RAS,C.E. B;Mont-ras;Mont-ras;Mont-ras
No especificado;ESCOLA F. CERVERA,C B;Cervera;Cervera;Cervera
No especificado;L'AMETLLA DE MAR, S.C.E.R. A;Ametlla de Mar, l';L'Ametlla de Mar;L'Ametlla de Mar
CAMP DE FUTBOL MPAL. LES ROQUETES;Pª JOVE DE LES ROQUETES A;Sant Pere de Ribes;Sant Pere de Ribes;Sant Pere de Ribes
CAMP DE FUTBOL MPAL. D´ALPICAT;ALPICAT, CLUB DE FUTBOL U.E. A;Alpicat;Alpicat;Alpicat
No especificado;ESCOLA F. CERVERA,C A;Cervera;Cervera;Cervera
CAMP DE FUTBOL MPAL. CAN BORRELL;RACING BLANENC F.C. B;Blanes;Blanes;Blanes
CAMP DE FUTBOL MPAL. JOAN CAPDEVILA MÉNDEZ;ESCOLA F.TARREGA, C.E.;Sant Joan de les Abadesses;Sant Joan de les Abadesses;Sant Joan de les Abadesses
CAMP DE FUTBOL CE GEIEG PALAU SACOSTA;GEiEG A;Girona;Girona;Girona
CAMP DE FUTBOL ZEM DE VIDRERES;SPORTING-VIDRERENCA, C.E.F A;Vidreres;Vidreres;Vidreres
CAMP DE FUTBOL MPAL. DE SANTA OLIVA;SANTA OLIVA, CLUB FUTBOL ATLETIC A;Santa Oliva;Santa Oliva;Santa Oliva
CAMP DE FUTBOL MPAL. CARMEL;CARMELO, C.D. B;Barcelona 118 (el Baix Carmel);Barcelona;el Baix Carmel
CAMP DE FUTBOL COL·LEGI SANT ANTONI DE PÀDUA-SALESIANS;ESCOLA DE FUTBOL SALESIANS-MATARO B;Mataró;Mataró;Mataró
CAMP DE FUTBOL MPAL. DE VILABLAREIX;VILABLAREIX FUTBOL CLUB A;Vilablareix;Vilablareix;Vilablareix
No especificado;ATLÈTIC CLUB BANYOLES  A;Banyoles;Banyoles;Banyoles
CAMP DE FUTBOL COL·LEGI SANT ANTONI DE PÀDUA-SALESIANS;ESCOLA DE FUTBOL SALESIANS-MATARO A;Mataró;Mataró;Mataró
CAMP DE FUTBOL MPAL. DE L´ESCALA;L'ESCALA, F.C. A;Escala, l';L'Escala;L'Escala
CAMP DE FUTBOL MPAL. GERMANS SÀBAT;ESCOLA F. GIRONES-SABAT A;Girona;Girona;Girona
CAMP DE FUTBOL MPAL. DE MALGRAT DE MAR;MALGRAT , C.E. A;Malgrat de Mar;Malgrat de Mar;Malgrat de Mar
CAMP DE FUTBOL MPAL. DE L´HOSPITALET LLOBREGAT;L'HOSPITALET, CENTRE ESPORTS C;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
CAMP DE FUTBOL MPAL. DE PERALADA Annex;PERALADA, C.F. A;Peralada;Peralada;Peralada
CAMP DE FUTBOL MPAL. CAMP DE LA SANTA CREU;JESUS CATALONIA, C.F. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE SANT GREGORI;SANT GREGORI, A.E. A;Sant Gregori;Sant Gregori;Sant Gregori
No especificado;FIGUERES, U.E. A;Figueres;Figueres;Figueres
CAMP DE FUTBOL MPAL. DE CALONGE;ESCOLA M.F.CALONGE-SANTANTONI,C B;Calonge de Segarra;Calonge de Segarra;Calonge de Segarra
CAMP DE FUTBOL MPAL. TON TUNEU;SANTA EUGENIA, J.E. A;Santa Eugènia de Berga;Santa Eugènia de Berga;Santa Eugènia de Berga
CAMP DE FUTBOL MPAL. DE TOSSA DE MAR;TOSSA UNIO ESPORTIVA A;Tossa de Mar;Tossa de Mar;Tossa de Mar
CAMP DE FUTBOL UB ESPORTS;DIAGONAL CLUB ESP. B;Barcelona 73 (Pedralbes, la Mercè i el Palau Reial);Barcelona;Pedralbes, la Mercè i el Palau Reial
